holding_date,stock_code,stock_name,participant_id,shareholding
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01161,66135127
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01590,26228763
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01451,23828720
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01284,23626660
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01274,17901359
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01130,15891120
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01353,14464955
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01955,10413028
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01089,9023551
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01695,7334917
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01727,5662853
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01224,4544362
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01118,4533323
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01086,4220711
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01345,4019029
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01668,3941060
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01623,3244371
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01610,3227973
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01183,3208631
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01584,2999902
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01582,2023000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01272,1563155
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01497,1426630
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01129,1414316
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01347,1164915
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01829,1115588
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01138,952868
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01842,915790
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01565,892142
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01228,781508
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01905,778650
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01947,775968
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01762,763271
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01673,724523
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01143,721659
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01264,709633
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01265,706141
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01710,697530
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02195,638241
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01158,598113
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01858,577666
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01413,551872
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02132,534341
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01885,521000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01423,485989
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02158,485000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01169,478925
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01826,476392
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01148,463621
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01115,430195
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01459,417402
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02159,373490
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01338,366431
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01289,351359
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01275,349910
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01581,348291
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01556,316131
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01814,312500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01901,307281
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01904,303012
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01119,300337
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01494,297472
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01929,296824
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02175,294000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01373,284721
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01425,281381
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01252,278108
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01184,274077
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01801,252000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01787,245994
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01848,234500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01813,233010
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01552,230733
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01450,227113
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01649,224880
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02142,219640
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01209,216182
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01123,215802
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01298,202364
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01356,200827
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01588,199166
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01351,184864
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01555,177386
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01328,173414
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01809,172836
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01340,169048
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01564,165274
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01940,164500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01439,161050
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01696,152012
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01324,149105
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01567,148513
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01900,146892
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01343,146671
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01173,145029
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01941,133872
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02163,131184
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01292,129628
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01939,123008
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01267,122307
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01198,114597
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01724,114486
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01469,113300
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01782,112387
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01938,111182
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01890,108812
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01483,107864
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01546,107732
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01866,107416
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01438,105797
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01664,98416
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01445,98104
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01686,97756
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01540,96644
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01416,96076
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01253,95300
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01271,94556
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01843,93208
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01894,92500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01527,92000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01654,83687
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01511,81932
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01666,80972
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01909,80000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01230,77602
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01519,77244
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01700,74924
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01290,72392
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01893,70222
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01849,69840
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02156,68000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01585,67972
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01576,63503
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01294,60094
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01433,59326
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01470,59104
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01661,57952
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01538,57720
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01525,57700
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01743,52368
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01788,51681
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01645,51194
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01455,48276
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01665,48064
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01256,46913
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01783,42916
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01458,42378
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01551,41132
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01767,40172
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01833,39000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02093,38184
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01481,36708
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01759,34752
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01659,34708
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01110,34100
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01789,33972
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01705,33652
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01769,33551
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01974,32881
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02091,32500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01615,32437
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01973,31500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01514,29156
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01563,29064
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02028,29000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02102,29000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01401,26916
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01277,26804
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01523,25788
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02141,25000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01213,24212
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01141,23854
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01500,23520
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01509,22476
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01784,21500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01962,21500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01676,21288
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01680,20556
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01964,19788
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01601,19368
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01454,19120
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01906,18840
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01935,18500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02032,18371
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01777,17172
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01720,16472
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01967,16242
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01897,15940
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01741,15902
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01669,15752
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01571,15052
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01863,15000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01181,14472
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01310,14236
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01389,13152
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01959,13001
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01930,13000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01751,11738
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01937,11684
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01240,11242
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01444,10920
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01907,10684
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01619,10500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01684,10419
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01753,10392
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01447,10000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01810,9868
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01608,9576
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01915,9500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01248,9420
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01963,8500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01978,8500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01832,8280
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01592,8250
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01716,8000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02120,8000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01350,7868
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01577,7540
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01825,7000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02128,7000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01427,6868
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01407,6840
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01755,6500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01773,6252
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01794,5901
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01386,5688
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01934,5236
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02176,5236
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01428,5000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01816,5000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01875,5000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02192,5000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01919,4603
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01510,4368
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01080,4356
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01341,4236
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01660,4158
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01868,4000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01976,4000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02078,4000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01677,3684
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01231,3368
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01948,3257
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01756,3184
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01936,3054
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01922,2868
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01982,2804
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01685,2500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01714,2500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02035,2500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02085,2500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01920,2368
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02183,2052
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01508,2000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01580,2000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01636,2000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02013,2000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02056,2000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01694,1684
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01823,1500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01921,1500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01627,1368
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02047,1184
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01308,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01754,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01883,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01891,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01925,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01957,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01995,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02059,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02075,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02096,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02214,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02221,1000
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02116,684
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02213,684
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01986,500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01988,500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02020,500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02073,500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B02151,500
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01320,184
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01830,52
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01217,5
2026-03-26,00001,CK HUTCHISON HOLDINGS LIMITED,B01246,1
2026-03-26,00002,CLP HOLDINGS LIMITED,B01138,43686083
2026-03-26,00002,CLP HOLDINGS LIMITED,B01284,43069602
2026-03-26,00002,CLP HOLDINGS LIMITED,B01089,29896638
2026-03-26,00002,CLP HOLDINGS LIMITED,B01161,21069694
2026-03-26,00002,CLP HOLDINGS LIMITED,B01130,19696296
2026-03-26,00002,CLP HOLDINGS LIMITED,B01552,10365896
2026-03-26,00002,CLP HOLDINGS LIMITED,B01118,7679074
2026-03-26,00002,CLP HOLDINGS LIMITED,B01955,7137722
2026-03-26,00002,CLP HOLDINGS LIMITED,B01695,6427782
2026-03-26,00002,CLP HOLDINGS LIMITED,B01727,6029060
2026-03-26,00002,CLP HOLDINGS LIMITED,B01183,5841255
